,org_id,endpoint_id,status,current,date_time,Churn_status
4753,160090,59479087,3,1,2017-12-02,Churned
4837,160090,59479184,3,1,2017-12-02,Churned
4754,160090,59479569,3,1,2017-12-02,Churned
36396,160090,59479583,4,0,2018-06-26,Not Churned
13894,160090,59479717,4,0,2018-02-15,Not Churned
4838,160090,59495352,3,1,2017-12-02,Churned
3873,160090,59495449,3,1,2017-12-02,Churned
4755,160090,59509057,3,1,2017-12-02,Churned
25028,160090,59515930,4,0,2018-04-26,Not Churned
4756,160090,59515931,3,1,2017-12-02,Churned
2615,160090,59527804,3,1,2017-12-02,Churned
12072,160090,59536540,3,1,2018-05-10,Churned
10839,160090,59541330,3,1,2018-02-06,Churned
11345,160090,59541643,3,1,2017-12-02,Churned
13800,160090,59551106,3,1,2017-12-02,Churned
6628,160090,59551347,4,0,2017-12-18,Not Churned
8776,160090,59560348,3,1,2017-12-02,Churned
8174,160090,59566249,3,1,2017-12-02,Churned
8175,160090,59633103,3,1,2017-12-02,Churned
17800,160090,59648677,3,1,2018-05-04,Churned
6837,160090,59657281,3,1,2017-12-02,Churned
10010,160090,59686126,3,1,2017-12-02,Churned
474,160090,59729359,3,1,2017-12-02,Churned
2617,160090,59740311,3,1,2017-12-02,Churned
5470,160090,59746491,3,1,2017-12-02,Churned
5056,160090,59767437,3,1,2017-12-02,Churned
11346,160090,59789650,3,1,2017-12-02,Churned
475,160090,59813586,3,1,2017-12-02,Churned
6838,160090,59859410,3,1,2017-12-02,Churned
2618,160090,59859413,3,1,2017-12-02,Churned
13801,160090,59878531,3,1,2017-12-02,Churned
13242,160090,59878533,4,0,2018-03-26,Not Churned
15902,160090,59878534,4,0,2018-03-27,Not Churned
5057,160090,59878535,3,1,2017-12-02,Churned
5058,160090,59878536,3,1,2017-12-02,Churned
11347,160090,59878537,3,1,2017-12-02,Churned
5059,160090,59878540,3,1,2017-12-02,Churned
32008,160090,59878541,4,0,2018-06-26,Not Churned
8777,160090,59878542,3,1,2017-12-02,Churned
8778,160090,59878544,3,1,2017-12-02,Churned
2620,160090,59878546,3,1,2017-12-02,Churned
2621,160090,59878549,3,1,2017-12-02,Churned
8779,160090,59878550,3,1,2017-12-02,Churned
10011,160090,59878551,3,1,2017-12-02,Churned
13802,160090,59878552,3,1,2017-12-02,Churned
10012,160090,59878553,3,1,2017-12-02,Churned
6839,160090,59878555,3,1,2017-12-02,Churned
8176,160090,59878557,3,1,2017-12-02,Churned
2658,160090,59878582,3,1,2017-12-02,Churned
